browser,newusers,eventcount,totalusers,conversions,totalrevenue,engagementrate,engagedsessions,date
Safari,147,1202,179,0,0,0.570048309,118,25/03/24
Safari (in-app),4,12,4,0,0,0,0,25/03/24
Samsung Internet,5,96,7,0,0,0.818181818,9,25/03/24
Android Webview,15,50,15,0,0,0.133333333,2,26/03/24
Chrome,194,2567,243,0,0,0.7,203,26/03/24
Edge,16,147,20,0,0,0.695652174,16,26/03/24
Firefox,6,78,9,0,0,0.636363636,7,26/03/24
Opera,2,12,2,0,0,0.5,1,26/03/24
Safari,127,978,152,0,0,0.556886228,93,26/03/24
Safari (in-app),6,27,6,0,0,0.5,3,26/03/24
Samsung Internet,4,41,5,0,0,0.8,4,26/03/24
YaBrowser,1,11,1,0,0,1,1,26/03/24
Android Browser,13,39,13,0,0,0,0,27/03/24
Android Webview,16,57,18,0,0,0.222222222,4,27/03/24
Chrome,169,2066,223,0,0,0.611764706,156,27/03/24
Edge,11,140,16,0,0,0.631578947,12,27/03/24
Firefox,7,106,11,0,0,0.636363636,7,27/03/24
Opera,1,8,2,0,0,0.333333333,1,27/03/24
Safari,124,1019,151,0,0,0.556886228,93,27/03/24
Safari (in-app),5,19,5,0,0,0.4,2,27/03/24
Samsung Internet,5,56,6,0,0,0.666666667,4,27/03/24
Android Webview,17,55,17,0,0,0.058823529,1,28/03/24
Chrome,179,2007,224,0,0,0.67953668,176,28/03/24
Edge,14,179,17,0,0,0.684210526,13,28/03/24
Firefox,6,55,9,0,0,0.777777778,7,28/03/24
Opera,1,7,1,0,0,1,1,28/03/24
Safari,149,1083,173,0,0,0.613402062,119,28/03/24
Safari (in-app),7,32,7,0,0,0.428571429,3,28/03/24
Samsung Internet,13,93,16,0,0,0.45,9,28/03/24
Android Webview,11,43,11,0,0,0.363636364,4,29/03/24
Chrome,164,1631,210,0,0,0.706382979,166,29/03/24
Edge,10,105,12,0,0,0.692307692,9,29/03/24
Firefox,14,95,16,0,0,0.8125,13,29/03/24
Safari,173,1137,193,0,0,0.582524272,120,29/03/24
Safari (in-app),2,6,2,0,0,0,0,29/03/24
Samsung Internet,9,89,10,0,0,0.333333333,4,29/03/24
Android Webview,7,24,8,0,0,0.125,1,30/03/24
Chrome,200,1497,224,0,0,0.673469388,165,30/03/24
Edge,10,181,12,0,0,0.923076923,12,30/03/24
Firefox,8,38,8,0,0,0.875,7,30/03/24
Opera,2,10,2,0,0,1,2,30/03/24
Safari,205,1394,224,0,0,0.58677686,142,30/03/24
Safari (in-app),7,41,7,0,0,0.285714286,2,30/03/24
Samsung Internet,5,73,6,0,0,0.714285714,5,30/03/24
Android Webview,22,78,23,0,0,0.125,3,31/03/24
Chrome,152,1373,186,0,0,0.692682927,142,31/03/24
Edge,11,353,13,0,0,0.8125,13,31/03/24
Firefox,6,55,6,0,0,0.666666667,4,31/03/24
Opera,2,36,3,0,0,0.75,3,31/03/24
Safari,151,1069,160,0,0,0.630057803,109,31/03/24
Safari (in-app),8,34,9,0,0,0.333333333,3,31/03/24
Samsung Internet,17,76,18,0,0,0.52173913,12,31/03/24
Android Webview,15,73,17,0,0,0.352941176,6,01/04/24
Chrome,261,3226,315,0,0,0.651041667,250,01/04/24
Edge,21,199,28,0,0,0.606060606,20,01/04/24
Firefox,10,152,11,0,0,0.75,12,01/04/24
Safari,196,1261,222,0,0,0.530120482,132,01/04/24
Safari (in-app),4,13,4,0,0,0.25,1,01/04/24
Samsung Internet,13,149,15,0,0,0.684210526,13,01/04/24
Android Webview,10,32,10,0,0,0,0,02/04/24
Chrome,242,3092,305,0,0,0.679245283,252,02/04/24
Edge,33,352,39,0,0,0.717391304,33,02/04/24
Firefox,19,256,24,0,0,0.677419355,21,02/04/24
Meta Quest Browser,1,3,1,0,0,0,0,02/04/24
Mozilla Compatible Agent,0,1,1,0,0,1,1,02/04/24
Safari,181,1083,200,0,0,0.580357143,130,02/04/24
Safari (in-app),3,9,3,0,0,0,0,02/04/24
Samsung Internet,15,206,18,0,0,0.8,16,02/04/24
Android Webview,14,47,14,0,0,0.214285714,3,03/04/24
Chrome,246,3117,316,0,0,0.67,268,03/04/24
Edge,15,102,19,0,0,0.545454545,12,03/04/24
Firefox,13,151,16,0,0,0.764705882,13,03/04/24
Opera,2,14,2,0,0,1,2,03/04/24
Safari,211,1408,224,0,0,0.562753036,139,03/04/24
Safari (in-app),9,36,9,0,0,0.222222222,2,03/04/24
Samsung Internet,12,88,16,0,0,0.4,8,03/04/24
Android Webview,23,73,24,0,0,0.083333333,2,04/04/24
Chrome,212,2279,271,0,0,0.669934641,205,04/04/24
Edge,19,343,25,0,0,0.611111111,22,04/04/24
Firefox,11,166,15,0,0,0.7,14,04/04/24
Opera,3,20,3,0,0,1,4,04/04/24
Safari,229,1463,251,0,0,0.545126354,151,04/04/24
Safari (in-app),9,37,10,0,0,0.2,2,04/04/24
Samsung Internet,10,58,12,0,0,0.615384615,8,04/04/24
Android Webview,18,82,22,0,0,0.227272727,5,05/04/24
Chrome,211,1936,261,0,0,0.616393443,188,05/04/24
Edge,19,120,23,0,0,0.576923077,15,05/04/24
Firefox,18,214,21,0,0,0.625,15,05/04/24
Safari,198,1426,228,0,0,0.588709677,146,05/04/24
Safari (in-app),5,16,5,0,0,0.4,2,05/04/24
Samsung Internet,14,90,15,0,0,0.8,12,05/04/24
Android Webview,21,99,25,0,0,0.076923077,2,06/04/24
Chrome,239,2367,279,0,0,0.642405063,203,06/04/24
Edge,10,142,15,0,0,0.625,10,06/04/24
Firefox,3,110,7,0,0,0.75,6,06/04/24
Opera,1,7,1,0,0,1,1,06/04/24
Safari,265,1953,292,0,0,0.513931889,166,06/04/24
Safari (in-app),10,51,10,0,0,0.3,3,06/04/24
Samsung Internet,13,88,16,0,0,0.6875,11,06/04/24
Android Browser,12,36,12,0,0,0,0,07/04/24
Android Webview,20,66,20,0,0,0.1,2,07/04/24
Chrome,221,1943,265,0,0,0.636678201,184,07/04/24
Edge,10,78,12,0,0,0.615384615,8,07/04/24
Firefox,15,125,17,0,0,0.666666667,12,07/04/24
Opera,1,4,1,0,0,1,1,07/04/24
Safari,219,1389,240,0,0,0.555984556,144,07/04/24
Safari (in-app),4,15,4,0,0,0.5,2,07/04/24
Samsung Internet,11,59,11,0,0,0.461538462,6,07/04/24
Android Webview,18,61,20,0,0,0.1,2,08/04/24
Chrome,251,2643,303,0,0,0.647887324,230,08/04/24
Edge,20,148,22,0,0,0.782608696,18,08/04/24
Firefox,11,66,11,0,0,0.583333333,7,08/04/24
Opera,1,4,1,0,0,1,1,08/04/24
Safari,200,1351,227,0,0,0.586345382,146,08/04/24
Safari (in-app),6,21,7,0,0,0.142857143,1,08/04/24
Samsung Internet,11,111,12,0,0,0.615384615,8,08/04/24
Android Webview,18,60,19,0,0,0.157894737,3,09/04/24
Chrome,249,2328,299,0,0,0.695266272,235,09/04/24
Edge,15,163,21,0,0,0.64,16,09/04/24
Firefox,8,55,11,0,0,0.615384615,8,09/04/24
Opera,1,5,1,0,0,1,1,09/04/24
Safari,190,1532,220,0,0,0.585365854,144,09/04/24
Safari (in-app),5,15,5,0,0,0,0,09/04/24
Samsung Internet,10,105,12,0,0,0.5,9,09/04/24
Android Webview,15,59,15,0,0,0.222222222,4,10/04/24
Chrome,230,2191,279,0,0,0.661585366,217,10/04/24
Edge,14,176,17,0,0,0.857142857,18,10/04/24
Firefox,9,82,11,0,0,0.5,6,10/04/24
Opera,2,17,2,0,0,1,2,10/04/24
Safari,184,1132,208,0,0,0.575107296,134,10/04/24
Safari (in-app),2,10,3,0,0,0.333333333,1,10/04/24
Samsung Internet,9,38,9,0,0,0.777777778,7,10/04/24
Android Webview,17,57,17,0,0,0.176470588,3,11/04/24
Chrome,247,2361,304,0,0,0.670454545,236,11/04/24
Edge,33,412,41,0,0,0.75,36,11/04/24
Firefox,19,114,20,0,0,0.65,13,11/04/24
Opera,2,33,3,0,0,0.75,3,11/04/24
Safari,227,1550,250,0,0,0.533333333,152,11/04/24
Safari (in-app),9,30,9,0,0,0.111111111,1,11/04/24
Samsung Internet,17,101,19,0,0,0.6,12,11/04/24
Android Webview,12,43,12,0,0,0.166666667,2,12/04/24
Chrome,239,2177,285,0,0,0.672839506,218,12/04/24
Edge,17,206,20,0,0,0.76,19,12/04/24
Firefox,7,102,12,0,0,0.5,7,12/04/24
Opera,3,23,3,0,0,1,3,12/04/24
Safari,193,1358,218,0,0,0.578947368,143,12/04/24
Safari (in-app),5,15,5,0,0,0,0,12/04/24
Samsung Internet,16,114,18,0,0,0.842105263,16,12/04/24
Android Webview,20,96,25,0,0,0.24,6,13/04/24
Chrome,216,1933,252,0,0,0.673611111,194,13/04/24
Edge,12,130,13,0,0,0.75,12,13/04/24
Firefox,11,119,13,0,0,0.733333333,11,13/04/24
Opera,2,9,2,0,0,1,2,13/04/24
Safari,241,1479,264,0,0,0.569536424,172,13/04/24
Safari (in-app),6,23,6,0,0,0.5,3,13/04/24
Samsung Internet,9,69,11,0,0,0.833333333,10,13/04/24
Android Webview,13,53,13,0,0,0.307692308,4,14/04/24
Chrome,234,1586,263,0,0,0.658450704,187,14/04/24
Edge,15,132,18,0,0,0.684210526,13,14/04/24
Firefox,13,74,15,0,0,0.8,12,14/04/24
Opera,1,7,1,0,0,0.5,1,14/04/24
Safari,219,1312,239,0,0,0.554716981,147,14/04/24
Safari (in-app),8,28,8,0,0,0.375,3,14/04/24
Samsung Internet,12,57,13,0,0,0.615384615,8,14/04/24
Android Webview,11,55,13,0,0,0.307692308,4,15/04/24
Chrome,285,2690,331,0,0,0.712041885,272,15/04/24
Edge,20,244,28,0,0,0.588235294,20,15/04/24
Firefox,9,144,13,0,0,0.666666667,10,15/04/24
Opera,1,4,1,0,0,1,1,15/04/24
Safari,211,1573,236,0,0,0.608208955,163,15/04/24
Safari (in-app),5,21,6,0,0,0.166666667,1,15/04/24
Samsung Internet,12,106,12,0,0,0.846153846,11,15/04/24
Android Webview,15,51,16,0,0,0.125,2,16/04/24
Chrome,248,2583,308,0,0,0.690410959,252,16/04/24
Edge,30,278,34,0,0,0.736842105,28,16/04/24
Firefox,7,61,8,0,0,0.888888889,8,16/04/24
Opera,3,28,3,0,0,0.2,1,16/04/24
Safari,205,1503,233,0,0,0.570895522,153,16/04/24
Safari (in-app),4,19,4,0,0,0.142857143,1,16/04/24
Samsung Internet,13,90,16,0,0,0.705882353,12,16/04/24
Android Browser,7,29,7,0,0,0,0,17/04/24
Android Webview,6,25,7,0,0,0.285714286,2,17/04/24
Chrome,271,3041,319,0,0,0.687671233,251,17/04/24
Edge,18,340,25,0,0,0.580645161,18,17/04/24
Firefox,14,161,17,0,0,0.6,12,17/04/24
Opera,2,35,3,0,0,0.75,3,17/04/24
Safari,215,1372,237,0,0,0.563218391,147,17/04/24
Samsung Internet,5,66,7,0,0,0.7,7,17/04/24
Android Browser,1,3,1,0,0,0,0,18/04/24
Android Webview,9,27,9,0,0,0,0,18/04/24
Chrome,266,2772,317,0,0,0.648648649,240,18/04/24
Edge,25,248,30,0,0,0.714285714,25,18/04/24
Firefox,15,117,15,0,0,0.571428571,12,18/04/24
Opera,1,5,1,0,0,1,1,18/04/24
Safari,195,1256,219,0,0,0.543209877,132,18/04/24
Safari (in-app),4,12,4,0,0,0,0,18/04/24
Samsung Internet,13,52,14,0,0,0.25,4,18/04/24
Android Webview,19,60,19,0,0,0.105263158,2,19/04/24
Chrome,233,2194,286,0,0,0.668639053,226,19/04/24
Edge,17,170,20,0,0,0.625,15,19/04/24
Firefox,14,127,15,0,0,0.65,13,19/04/24
Opera,3,28,3,0,0,1,3,19/04/24
Safari,217,1561,246,0,0,0.585185185,158,19/04/24
Safari (in-app),3,9,3,0,0,0.333333333,1,19/04/24
Samsung Internet,13,83,14,0,0,0.6875,11,19/04/24
Android Webview,15,48,15,0,0,0.2,3,20/04/24
Chrome,241,1995,277,0,0,0.700657895,213,20/04/24
Edge,10,262,15,0,0,0.65,13,20/04/24
Firefox,7,68,9,0,0,0.545454545,6,20/04/24
Opera,2,11,3,0,0,0.666666667,2,20/04/24
Safari,252,2000,279,0,0,0.556962025,176,20/04/24
Safari (in-app),4,16,5,0,0,0.4,2,20/04/24
Samsung Internet,23,111,24,0,0,0.62962963,17,20/04/24
Android Webview,10,36,11,0,0,0.272727273,3,21/04/24
Chrome,221,1762,264,0,0,0.634812287,186,21/04/24
Edge,8,87,10,0,0,0.545454545,6,21/04/24
Firefox,9,84,10,0,0,0.636363636,7,21/04/24
Safari,241,1711,269,0,0,0.55704698,166,21/04/24
Safari (in-app),7,25,7,0,0,0.285714286,2,21/04/24
Samsung Internet,16,99,18,0,0,0.666666667,12,21/04/24
Android Webview,11,37,12,0,0,0.083333333,1,22/04/24
Chrome,272,2701,321,0,0,0.698060942,252,22/04/24
Edge,19,162,22,0,0,0.791666667,19,22/04/24
Firefox,17,109,18,0,0,0.565217391,13,22/04/24
Opera,1,8,1,0,0,1,2,22/04/24
Safari,191,1335,220,0,0,0.546511628,141,22/04/24
Safari (in-app),3,14,3,0,0,0.333333333,1,22/04/24
Samsung Internet,9,50,10,0,0,0.307692308,4,22/04/24
Android Webview,6,21,6,0,0,0.333333333,2,23/04/24
Chrome,257,2297,315,0,0,0.652777778,235,23/04/24
Edge,28,200,30,0,0,0.636363636,21,23/04/24
Firefox,15,173,20,0,0,0.739130435,17,23/04/24
Opera,2,11,2,0,0,0.5,1,23/04/24
Safari,223,1398,245,0,0,0.605363985,158,23/04/24
Safari (in-app),8,28,9,0,0,0.222222222,2,23/04/24
Samsung Internet,10,57,11,0,0,0.1875,3,23/04/24
Android Webview,18,63,18,0,0,0.166666667,3,24/04/24
Chrome,242,2293,295,0,0,0.675925926,219,24/04/24
Edge,20,143,26,0,0,0.642857143,18,24/04/24
Firefox,12,60,15,0,0,0.533333333,8,24/04/24
Opera,1,15,2,0,0,0.5,1,24/04/24
Safari,177,1200,199,0,0,0.519823789,118,24/04/24
Safari (in-app),11,35,11,0,0,0,0,24/04/24
Samsung Internet,9,66,12,0,0,0.388888889,7,24/04/24
Android Webview,11,35,12,0,0,0,0,25/04/24
Chrome,266,1865,304,0,0,0.664688427,224,25/04/24
Edge,17,153,23,0,0,0.535714286,15,25/04/24
Firefox,11,197,18,0,0,0.681818182,15,25/04/24
Opera,1,4,1,0,0,1,1,25/04/24
Safari,214,1534,243,0,0,0.545801527,143,25/04/24
Safari (in-app),3,11,4,0,0,0,0,25/04/24
Samsung Internet,17,131,18,0,0,0.5,11,25/04/24
Android Webview,12,51,12,0,0,0.416666667,5,26/04/24
Chrome,241,2267,289,0,0,0.713846154,232,26/04/24
Edge,14,143,17,0,0,0.8,16,26/04/24
Firefox,14,147,15,0,0,0.75,12,26/04/24
Opera,1,30,1,0,0,1,1,26/04/24
Safari,166,1146,196,0,0,0.54954955,122,26/04/24
Safari (in-app),4,16,5,0,0,0.2,1,26/04/24
Samsung Internet,15,89,16,0,0,0.705882353,12,26/04/24
Android Webview,17,64,19,0,0,0.210526316,4,27/04/24
Chrome,234,1929,284,0,0,0.641744548,206,27/04/24
Edge,11,115,12,0,0,0.846153846,11,27/04/24
Firefox,9,71,9,0,0,0.777777778,7,27/04/24
Opera,2,19,2,0,0,0.666666667,2,27/04/24
Safari,243,1908,270,0,0,0.620578778,193,27/04/24
Safari (in-app),8,24,8,0,0,0,0,27/04/24
Samsung Internet,14,121,16,0,0,0.6875,11,27/04/24
Android Browser,7,22,7,0,0,0,0,28/04/24
Android Webview,14,47,15,0,0,0.2,3,28/04/24
Chrome,243,1771,272,0,0,0.666666667,198,28/04/24
Edge,7,109,12,0,0,0.642857143,9,28/04/24
Firefox,9,73,11,0,0,0.833333333,10,28/04/24
Mozilla Compatible Agent,0,1,1,0,0,1,1,28/04/24
Safari,248,1836,274,0,0,0.54313099,170,28/04/24
Safari (in-app),12,44,12,0,0,0.25,3,28/04/24
Samsung Internet,8,39,9,0,0,0.666666667,6,28/04/24
Android Webview,17,69,17,0,0,0.294117647,5,29/04/24
Chrome,303,2263,344,0,0,0.677749361,265,29/04/24
Edge,28,206,32,0,0,0.735294118,25,29/04/24
Firefox,12,63,13,0,0,0.615384615,8,29/04/24
Opera,2,7,2,0,0,0,0,29/04/24
Safari,244,1884,278,0,0,0.569659443,184,29/04/24
Safari (in-app),6,18,6,0,0,0,0,29/04/24
Samsung Internet,9,44,10,0,0,0.384615385,5,29/04/24
Android Webview,14,46,15,0,0,0.133333333,2,30/04/24
Chrome,257,2328,314,0,0,0.677142857,237,30/04/24
Edge,20,394,25,0,0,0.6875,22,30/04/24
Firefox,13,81,13,0,0,0.6,9,30/04/24
Opera,2,10,3,0,0,0.666666667,2,30/04/24
Safari,246,1619,271,0,0,0.515923567,162,30/04/24
Safari (in-app),9,31,9,0,0,0.222222222,2,30/04/24
Samsung Internet,17,94,17,0,0,0.555555556,10,30/04/24
Android Webview,10,41,11,0,0,0.25,3,01/05/24
Chrome,225,1806,261,0,0,0.685810811,203,01/05/24
Edge,19,238,19,0,0,0.833333333,20,01/05/24
Firefox,16,128,20,0,0,0.68,17,01/05/24
Opera,1,5,1,0,0,0,0,01/05/24
Safari,194,1289,218,0,0,0.516,129,01/05/24
Safari (in-app),10,41,10,0,0,0.2,2,01/05/24
Samsung Internet,9,62,9,0,0,0.7,7,01/05/24
Android Webview,13,55,14,0,0,0.214285714,3,02/05/24
Chrome,207,1648,257,0,0,0.673539519,196,02/05/24
Edge,20,179,25,0,0,0.592592593,16,02/05/24
Firefox,12,118,14,0,0,0.764705882,13,02/05/24
Opera,1,9,1,0,0,0,0,02/05/24
Safari,180,1265,203,0,0,0.521008403,124,02/05/24
Safari (in-app),8,30,9,0,0,0.111111111,1,02/05/24
Samsung Internet,7,67,10,0,0,0.692307692,9,02/05/24
Android Runtime,1,3,1,0,0,1,1,03/05/24
Android Webview,14,56,16,0,0,0.1875,3,03/05/24
Chrome,239,2264,294,0,0,0.661891117,231,03/05/24
Edge,18,133,19,0,0,0.619047619,13,03/05/24
Firefox,19,170,21,0,0,0.708333333,17,03/05/24
Opera,1,4,1,0,0,0,0,03/05/24
Safari,211,1320,229,0,0,0.59375,152,03/05/24
Safari (in-app),15,75,15,0,0,0.466666667,7,03/05/24
Samsung Internet,4,33,6,0,0,0.833333333,5,03/05/24
Android Webview,10,39,10,0,0,0.2,2,04/05/24
Chrome,203,1378,231,0,0,0.642857143,162,04/05/24
Edge,11,85,12,0,0,0.846153846,11,04/05/24
Firefox,8,121,11,0,0,0.615384615,8,04/05/24
Opera,2,7,2,0,0,0,0,04/05/24
Safari,196,1247,215,0,0,0.497925311,120,04/05/24
Safari (in-app),13,58,13,0,0,0.384615385,5,04/05/24
Samsung Internet,14,93,15,0,0,0.8125,13,04/05/24
Android Runtime,1,4,1,0,0,1,1,05/05/24
Android Webview,22,107,24,0,0,0.32,8,05/05/24
Chrome,223,1747,255,0,0,0.674911661,191,05/05/24
Edge,9,52,12,0,0,0.538461538,7,05/05/24
Firefox,6,48,7,0,0,1,7,05/05/24
Opera,2,12,2,0,0,0.666666667,2,05/05/24
Safari,243,1530,263,0,0,0.550522648,158,05/05/24
Safari (in-app),15,69,15,0,0,0.533333333,8,05/05/24
Samsung Internet,8,70,10,0,0,0.9,9,05/05/24
Android Webview,12,40,12,0,0,0.166666667,2,06/05/24
Chrome,252,2527,301,0,0,0.644508671,223,06/05/24
Edge,23,145,25,0,0,0.769230769,20,06/05/24
Firefox,13,115,16,0,0,0.625,10,06/05/24
Opera,2,7,2,0,0,0.5,1,06/05/24
Safari,201,1364,233,0,0,0.517647059,132,06/05/24
Safari (in-app),13,55,14,0,0,0.285714286,4,06/05/24
Samsung Internet,9,42,12,0,0,0.307692308,4,06/05/24
Android Runtime,1,4,1,0,0,1,1,07/05/24
Android Webview,15,70,16,0,0,0.25,4,07/05/24
Chrome,256,2383,321,0,0,0.646112601,241,07/05/24
Edge,13,121,19,0,0,0.772727273,17,07/05/24
Firefox,9,201,14,0,0,0.5625,9,07/05/24
Opera,2,8,2,0,0,0.5,1,07/05/24
Safari,201,1540,224,0,0,0.547619048,138,07/05/24
Safari (in-app),18,66,18,0,0,0.333333333,6,07/05/24
Samsung Internet,11,82,11,0,0,0.428571429,6,07/05/24
Amazon Silk,1,5,1,0,0,1,1,08/05/24
Android Runtime,1,3,1,0,0,1,1,08/05/24
Android Webview,19,69,19,0,0,0.25,5,08/05/24
Chrome,239,2010,295,0,0,0.668674699,222,08/05/24
Edge,10,81,11,0,0,0.545454545,6,08/05/24
Firefox,14,155,17,0,0,0.714285714,15,08/05/24
Opera,1,4,1,0,0,0,0,08/05/24
Safari,217,1748,245,0,0,0.580071174,163,08/05/24
Safari (in-app),36,135,36,0,0,0.305555556,11,08/05/24
Samsung Internet,11,53,12,0,0,0.692307692,9,08/05/24
Android Browser,5,18,5,0,0,0,0,09/05/24
Android Runtime,4,13,4,0,0,1,4,09/05/24
Android Webview,33,130,35,0,0,0.285714286,10,09/05/24
Chrome,259,2085,328,0,0,0.62005277,235,09/05/24
Edge,12,245,17,0,0,0.777777778,14,09/05/24
Firefox,6,38,6,0,0,0.833333333,5,09/05/24
Opera,3,28,3,0,0,1,4,09/05/24
Safari,173,1111,192,0,0,0.504716981,107,09/05/24
Safari (in-app),91,370,93,0,0,0.273684211,26,09/05/24
Samsung Internet,16,93,19,0,0,0.75,18,09/05/24
Android Webview,31,124,35,0,0,0.2,7,10/05/24
Chrome,204,1449,243,0,0,0.621818182,171,10/05/24
Edge,11,197,13,0,0,0.875,14,10/05/24
Firefox,11,65,14,0,0,0.733333333,11,10/05/24
Safari,178,1112,191,0,0,0.562189055,113,10/05/24
Safari (in-app),96,337,103,0,0,0.114285714,12,10/05/24
Samsung Internet,12,71,14,0,0,0.733333333,11,10/05/24
Android Runtime,1,4,1,0,0,1,1,11/05/24
Android Webview,24,92,26,0,0,0.307692308,8,11/05/24
Chrome,217,1471,252,0,0,0.636678201,184,11/05/24
Edge,12,98,15,0,0,0.6875,11,11/05/24
Firefox,9,87,10,0,0,0.818181818,9,11/05/24
Safari,226,1549,242,0,0,0.597701149,156,11/05/24
Safari (in-app),110,357,114,0,0,0.07079646,8,11/05/24
Samsung Internet,10,39,11,0,0,0.545454545,6,11/05/24
Android Webview,27,91,28,0,0,0.178571429,5,12/05/24
Chrome,202,1689,230,0,0,0.718253968,181,12/05/24
Edge,12,223,16,0,0,0.736842105,14,12/05/24
Firefox,8,77,10,0,0,0.818181818,9,12/05/24
Safari,182,1103,194,0,0,0.548387097,119,12/05/24
Safari (in-app),114,395,118,0,0,0.117647059,14,12/05/24
Samsung Internet,12,63,13,0,0,0.857142857,12,12/05/24
Android Runtime,1,3,1,0,0,1,1,13/05/24
Android Webview,24,82,26,0,0,0.115384615,3,13/05/24
Chrome,259,2051,320,0,0,0.678571429,247,13/05/24
Edge,21,256,22,0,0,0.875,21,13/05/24
Firefox,16,170,19,0,0,0.761904762,16,13/05/24
Opera,3,16,4,0,0,1,4,13/05/24
Safari,238,1573,257,0,0,0.590277778,170,13/05/24
Safari (in-app),90,287,90,0,0,0.111111111,10,13/05/24
Samsung Internet,11,82,13,0,0,0.714285714,10,13/05/24
Android Webview,18,87,20,0,0,0.2,4,14/05/24
Chrome,254,2213,306,0,0,0.688953488,237,14/05/24
Edge,30,366,38,0,0,0.738095238,31,14/05/24
Firefox,15,136,17,0,0,0.6,12,14/05/24
Safari,197,1426,224,0,0,0.516260163,127,14/05/24
Safari (in-app),71,228,72,0,0,0.097222222,7,14/05/24
Samsung Internet,9,77,11,0,0,0.416666667,5,14/05/24
Android Runtime,2,8,2,0,0,1,2,15/05/24
Android Webview,21,81,24,0,0,0.125,3,15/05/24
Chrome,258,2026,307,0,0,0.621082621,218,15/05/24
Edge,22,423,28,0,0,0.666666667,22,15/05/24
Firefox,16,153,20,0,0,0.791666667,19,15/05/24
Opera,2,7,2,0,0,0.5,1,15/05/24
Safari,197,1365,220,0,0,0.574297189,143,15/05/24
Safari (in-app),104,373,111,0,0,0.135135135,15,15/05/24
Samsung Internet,18,119,21,0,0,0.64,16,15/05/24
Aloha Browser,1,3,1,0,0,0,0,16/05/24
Android Webview,26,91,28,0,0,0.285714286,8,16/05/24
Chrome,260,1944,296,0,0,0.646017699,219,16/05/24
Edge,11,146,17,0,0,0.7,14,16/05/24
Firefox,14,103,16,0,0,0.5625,9,16/05/24
Opera,4,53,4,0,0,0.75,3,16/05/24
Safari,174,1058,190,0,0,0.523364486,112,16/05/24
Safari (in-app),74,235,76,0,0,0.118421053,9,16/05/24
Samsung Internet,16,108,16,0,0,0.611111111,11,16/05/24
Android Runtime,1,4,1,0,0,1,1,17/05/24
Android Webview,22,84,22,0,0,0.363636364,8,17/05/24
Chrome,282,1994,333,0,0,0.658666667,247,17/05/24
Edge,22,283,25,0,0,0.71875,23,17/05/24
Firefox,12,91,13,0,0,0.6,9,17/05/24
Opera,4,44,4,0,0,0.75,3,17/05/24
Safari,219,1247,240,0,0,0.547244094,139,17/05/24
Safari (in-app),76,254,84,0,0,0.083333333,7,17/05/24
Samsung Internet,9,59,11,0,0,0.642857143,9,17/05/24
Android Runtime,1,4,1,0,0,1,1,18/05/24
Android Webview,21,81,23,0,0,0.130434783,3,18/05/24
Chrome,219,1705,251,0,0,0.625,175,18/05/24
Edge,8,87,10,0,0,0.7,7,18/05/24
Firefox,15,128,17,0,0,0.714285714,15,18/05/24
Opera,1,4,1,0,0,1,1,18/05/24
Safari,238,1491,251,0,0,0.530035336,150,18/05/24
Safari (in-app),81,259,82,0,0,0.073170732,6,18/05/24
Samsung Internet,7,36,10,0,0,0.4,4,18/05/24
Android Webview,25,92,26,0,0,0.192307692,5,19/05/24
Chrome,217,1480,247,0,0,0.68164794,182,19/05/24
Edge,7,33,8,0,0,0.75,6,19/05/24
Firefox,8,119,10,0,0,0.75,9,19/05/24
Opera,2,47,3,0,0,0.666666667,2,19/05/24
Safari,225,1307,244,0,0,0.6,159,19/05/24
Safari (in-app),68,214,71,0,0,0.056338028,4,19/05/24
Samsung Internet,21,94,22,0,0,0.545454545,12,19/05/24
Android Browser,5,19,5,0,0,0,0,20/05/24
Android Runtime,1,3,1,0,0,1,1,20/05/24
Android Webview,15,61,18,0,0,0.222222222,4,20/05/24
Chrome,238,1638,276,0,0,0.65862069,191,20/05/24
Edge,6,43,8,0,0,0.875,7,20/05/24
Firefox,11,126,12,0,0,0.785714286,11,20/05/24
Opera,4,25,4,0,0,0.8,4,20/05/24
Safari,207,1440,227,0,0,0.517928287,130,20/05/24
Safari (in-app),79,282,85,0,0,0.094117647,8,20/05/24
Samsung Internet,12,72,16,0,0,0.388888889,7,20/05/24
Android Webview,21,73,22,0,0,0.090909091,2,21/05/24
Chrome,245,2220,286,0,0,0.675840979,221,21/05/24
Edge,25,184,29,0,0,0.696969697,23,21/05/24
Firefox,13,140,16,0,0,0.608695652,14,21/05/24
Opera,1,3,1,0,0,0,0,21/05/24
Safari,225,1373,251,0,0,0.544483986,153,21/05/24
Safari (in-app),57,200,59,0,0,0.084745763,5,21/05/24
Samsung Internet,11,59,13,0,0,0.5,7,21/05/24
Android Webview,4,16,4,0,0,0.25,1,22/05/24
Chrome,268,2018,303,0,0,0.65497076,224,22/05/24
Edge,16,99,18,0,0,0.736842105,14,22/05/24
Firefox,12,76,16,0,0,0.529411765,9,22/05/24
Safari,198,1278,218,0,0,0.566666667,136,22/05/24
Safari (in-app),20,68,22,0,0,0.045454545,1,22/05/24
Samsung Internet,9,67,12,0,0,0.833333333,10,22/05/24
Android Webview,14,46,15,0,0,0.133333333,2,23/05/24
Chrome,284,2070,319,0,0,0.649717514,230,23/05/24
Edge,25,199,26,0,0,0.5,15,23/05/24
Firefox,11,130,15,0,0,0.8125,13,23/05/24
