sessions,eventcount,totalusers,conversions,property_id,totalrevenue,sessionmedium,engagementrate,engagedsessions,eventspersession,userengagementduration,date
2,6,2,0,353783484,0,Pinpoint,0,0,3,0,18/07/23
35,123,34,0,353783484,0,referral,0.114285714,4,3.514285714,83,18/07/23
52,265,47,0,353783484,0,(none),0.5,26,5.096153846,1699,19/07/23
1,1,1,0,353783484,0,(not set),0,0,1,143,19/07/23
92,723,85,0,353783484,0,cpc,0.673913043,62,7.858695652,5597,19/07/23
489,3194,423,0,353783484,0,organic,0.650306748,318,6.531697342,32396,19/07/23
6,18,6,0,353783484,0,Pinpoint,0,0,3,0,19/07/23
26,82,25,0,353783484,0,referral,0.230769231,6,3.153846154,360,19/07/23
73,621,60,0,353783484,0,(none),0.493150685,36,8.506849315,4418,20/07/23
1,2,1,0,353783484,0,(not set),0,0,2,52,20/07/23
92,835,80,0,353783484,0,cpc,0.72826087,67,9.076086957,6612,20/07/23
431,3122,381,0,353783484,0,organic,0.617169374,266,7.24361949,28817,20/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,20/07/23
20,64,20,0,353783484,0,referral,0.15,3,3.2,3,20/07/23
61,403,48,0,353783484,0,(none),0.426229508,26,6.606557377,3131,21/07/23
2,7,2,0,353783484,0,(not set),0,0,3.5,50,21/07/23
81,535,73,0,353783484,0,cpc,0.654320988,53,6.604938272,5934,21/07/23
407,2415,376,0,353783484,0,organic,0.633906634,258,5.933660934,24489,21/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,21/07/23
24,98,23,0,353783484,0,referral,0.25,6,4.083333333,286,21/07/23
40,441,34,0,353783484,0,(none),0.6,24,11.025,3311,22/07/23
81,706,71,0,353783484,0,cpc,0.666666667,54,8.716049383,6541,22/07/23
380,2213,351,0,353783484,0,organic,0.657894737,250,5.823684211,26674,22/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,22/07/23
23,86,23,0,353783484,0,referral,0.173913043,4,3.739130435,162,22/07/23
33,292,30,0,353783484,0,(none),0.636363636,21,8.848484848,2882,23/07/23
111,1300,99,0,353783484,0,cpc,0.702702703,78,11.71171171,11124,23/07/23
359,1963,333,0,353783484,0,organic,0.701949861,252,5.467966574,24218,23/07/23
8,24,8,0,353783484,0,Pinpoint,0,0,3,0,23/07/23
27,95,27,0,353783484,0,referral,0.148148148,4,3.518518519,110,23/07/23
1,17,1,0,353783484,0,YouTubeVideo,1,1,17,81,23/07/23
50,307,40,0,353783484,0,(none),0.58,29,6.14,1749,24/07/23
3,20,3,0,353783484,0,(not set),0,0,6.666666667,260,24/07/23
108,1099,97,0,353783484,0,cpc,0.796296296,86,10.17592593,11270,24/07/23
476,3219,429,0,353783484,0,organic,0.659663866,314,6.762605042,35884,24/07/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,24/07/23
23,102,22,0,353783484,0,referral,0.304347826,7,4.434782609,601,24/07/23
41,352,39,0,353783484,0,(none),0.536585366,22,8.585365854,4873,25/07/23
5,14,5,0,353783484,0,(not set),0,0,2.8,399,25/07/23
93,1035,82,0,353783484,0,cpc,0.817204301,76,11.12903226,12058,25/07/23
447,3787,412,0,353783484,0,organic,0.659955257,295,8.472035794,33201,25/07/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,25/07/23
31,133,30,0,353783484,0,referral,0.225806452,7,4.290322581,258,25/07/23
56,373,49,0,353783484,0,(none),0.571428571,32,6.660714286,2954,26/07/23
1,1,1,0,353783484,0,(not set),0,0,1,0,26/07/23
109,1002,94,0,353783484,0,cpc,0.770642202,84,9.19266055,11494,26/07/23
437,2697,404,0,353783484,0,organic,0.643020595,281,6.171624714,31321,26/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,26/07/23
16,77,14,0,353783484,0,referral,0.3125,5,4.8125,334,26/07/23
48,345,46,0,353783484,0,(none),0.541666667,26,7.1875,2899,27/07/23
2,132,2,0,353783484,0,(not set),0,0,66,1109,27/07/23
96,702,86,0,353783484,0,cpc,0.677083333,65,7.3125,7074,27/07/23
443,2314,409,0,353783484,0,organic,0.659142212,292,5.223476298,27436,27/07/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,27/07/23
12,43,12,0,353783484,0,referral,0.25,3,3.583333333,817,27/07/23
1,4,1,0,353783484,0,YouTubeVideo,0,0,4,2,27/07/23
46,299,43,0,353783484,0,(none),0.391304348,18,6.5,2602,28/07/23
90,968,80,0,353783484,0,cpc,0.677777778,61,10.75555556,8722,28/07/23
388,2458,350,0,353783484,0,organic,0.68814433,267,6.335051546,29924,28/07/23
2,7,2,0,353783484,0,Pinpoint,0,0,3.5,2,28/07/23
22,175,18,0,353783484,0,referral,0.454545455,10,7.954545455,1756,28/07/23
59,486,47,0,353783484,0,(none),0.491525424,29,8.237288136,3816,29/07/23
2,3,2,0,353783484,0,(not set),0,0,1.5,3,29/07/23
112,1034,96,0,353783484,0,cpc,0.767857143,86,9.232142857,10481,29/07/23
428,3047,396,0,353783484,0,organic,0.686915888,294,7.119158879,39294,29/07/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,29/07/23
13,58,13,0,353783484,0,referral,0.461538462,6,4.461538462,509,29/07/23
53,429,48,0,353783484,0,(none),0.528301887,28,8.094339623,4086,30/07/23
1,2,1,0,353783484,0,(not set),0,0,2,85,30/07/23
87,822,77,0,353783484,0,cpc,0.701149425,61,9.448275862,5867,30/07/23
351,2153,332,0,353783484,0,organic,0.698005698,245,6.133903134,28193,30/07/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,30/07/23
16,58,16,0,353783484,0,referral,0.3125,5,3.625,69,30/07/23
1,11,1,0,353783484,0,YouTubeVideo,1,1,11,157,30/07/23
62,383,55,0,353783484,0,(none),0.483870968,30,6.177419355,3278,31/07/23
