sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,sessioncampaignname,userengagementduration,date
29,210,28,0,353783484,0,0.448275862,13,7.24137931,(direct),1374,12/08/23
8,24,8,0,353783484,0,0,0,3,(not set),288,12/08/23
315,1795,293,0,353783484,0,0.688888889,217,5.698412698,(organic),23650,12/08/23
21,90,19,0,353783484,0,0.428571429,9,4.285714286,(referral),391,12/08/23
3,22,2,0,353783484,0,1,3,7.333333333,2122,70,12/08/23
3,50,3,0,353783484,0,0.666666667,2,16.66666667,DSA_Laminate Flooring,542,12/08/23
6,84,6,0,353783484,0,1,6,14,DSA_Search,465,12/08/23
3,9,3,0,353783484,0,0,0,3,FBAd,0,12/08/23
22,160,20,0,353783484,0,0.727272727,16,7.272727273,Geo Fencing | June 2023,1032,12/08/23
77,655,70,0,353783484,0,0.792207792,61,8.506493506,GTA Search,8318,12/08/23
5,54,5,0,353783484,0,0.8,4,10.8,Laminate Flooring - GTA,213,12/08/23
32,222,28,0,353783484,0,0.46875,15,6.9375,(direct),2040,13/08/23
3,8,3,0,353783484,0,0,0,2.666666667,(not set),24,13/08/23
328,1885,312,0,353783484,0,0.625,205,5.74695122,(organic),21026,13/08/23
16,54,16,0,353783484,0,0.25,4,3.375,(referral),136,13/08/23
5,124,3,0,353783484,0,0.8,4,24.8,2122,849,13/08/23
3,46,2,0,353783484,0,1,3,15.33333333,DSA_Laminate Flooring,438,13/08/23
8,60,6,0,353783484,0,0.625,5,7.5,DSA_Search,526,13/08/23
4,12,4,0,353783484,0,0,0,3,FBAd,0,13/08/23
10,124,10,0,353783484,0,0.9,9,12.4,Geo Fencing | June 2023,1350,13/08/23
71,522,66,0,353783484,0,0.704225352,50,7.352112676,GTA Search,5360,13/08/23
9,90,8,0,353783484,0,0.444444444,4,10,Laminate Flooring - GTA,874,13/08/23
59,373,49,0,353783484,0,0.525423729,31,6.322033898,(direct),2455,14/08/23
10,83,10,0,353783484,0,0.1,1,8.3,(not set),1291,14/08/23
372,1931,342,0,353783484,0,0.658602151,245,5.190860215,(organic),22649,14/08/23
28,104,27,0,353783484,0,0.178571429,5,3.714285714,(referral),824,14/08/23
27,272,16,0,353783484,0,0.703703704,19,10.07407407,2122,2197,14/08/23
2,31,2,0,353783484,0,0.5,1,15.5,DSA_Laminate Flooring,316,14/08/23
15,123,14,0,353783484,0,0.666666667,10,8.2,DSA_Search,830,14/08/23
4,12,4,0,353783484,0,0,0,3,FBAd,0,14/08/23
45,508,40,0,353783484,0,0.755555556,34,11.28888889,Geo Fencing | June 2023,3694,14/08/23
100,865,84,0,353783484,0,0.72,72,8.65,GTA Search,6786,14/08/23
10,77,9,0,353783484,0,0.9,9,7.7,Laminate Flooring - GTA,770,14/08/23
61,524,47,0,353783484,0,0.639344262,39,8.590163934,(direct),3553,15/08/23
7,25,7,0,353783484,0,0.142857143,1,3.571428571,(not set),621,15/08/23
421,2302,388,0,353783484,0,0.669833729,282,5.467933492,(organic),22665,15/08/23
25,98,23,0,353783484,0,0.32,8,3.92,(referral),315,15/08/23
16,139,13,0,353783484,0,0.6875,11,8.6875,2122,908,15/08/23
3,36,3,0,353783484,0,1,3,12,DSA_Laminate Flooring,428,15/08/23
15,108,14,0,353783484,0,0.8,12,7.2,DSA_Search,676,15/08/23
4,12,4,0,353783484,0,0,0,3,FBAd,0,15/08/23
28,257,26,0,353783484,0,0.714285714,20,9.178571429,Geo Fencing | June 2023,1970,15/08/23
70,536,61,0,353783484,0,0.685714286,48,7.657142857,GTA Search,5321,15/08/23
7,63,6,0,353783484,0,0.857142857,6,9,Laminate Flooring - GTA,368,15/08/23
40,236,35,0,353783484,0,0.475,19,5.9,(direct),2278,16/08/23
2,7,2,0,353783484,0,0.5,1,3.5,(not set),0,16/08/23
347,1724,318,0,353783484,0,0.662824207,230,4.968299712,(organic),20661,16/08/23
25,112,24,0,353783484,0,0.24,6,4.48,(referral),982,16/08/23
15,187,8,0,353783484,0,0.733333333,11,12.46666667,2122,1620,16/08/23
1,4,1,0,353783484,0,1,1,4,DSA_Laminate Flooring,76,16/08/23
6,30,4,0,353783484,0,0.5,3,5,DSA_Search,46,16/08/23
5,15,5,0,353783484,0,0,0,3,FBAd,0,16/08/23
27,284,22,0,353783484,0,0.777777778,21,10.51851852,Geo Fencing | June 2023,4219,16/08/23
69,719,62,0,353783484,0,0.739130435,51,10.42028986,GTA Search,6668,16/08/23
8,42,7,0,353783484,0,0.375,3,5.25,Laminate Flooring - GTA,234,16/08/23
