sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
31,162,30,0,353783484,0,0.64516129,20,5.225806452,1127,Direct,27/08/23
364,1938,346,0,353783484,0,0.623626374,227,5.324175824,26929,Organic Search,27/08/23
19,66,19,0,353783484,0,0.157894737,3,3.473684211,253,Organic Social,27/08/23
1,5,1,0,353783484,0,1,1,5,13,Organic Video,27/08/23
47,448,43,0,353783484,0,0.914893617,43,9.531914894,6134,Paid Search,27/08/23
7,39,7,0,353783484,0,0,0,5.571428571,391,Unassigned,27/08/23
27,364,23,0,353783484,0,0.740740741,20,13.48148148,3856,Cross-network,28/08/23
70,449,61,0,353783484,0,0.485714286,34,6.414285714,3417,Direct,28/08/23
432,2366,398,0,353783484,0,0.6875,297,5.476851852,29323,Organic Search,28/08/23
17,76,17,0,353783484,0,0.352941176,6,4.470588235,303,Organic Social,28/08/23
142,1168,133,0,353783484,0,0.661971831,94,8.225352113,9010,Paid Search,28/08/23
2,27,2,0,353783484,0,1,2,13.5,106,Referral,28/08/23
5,15,5,0,353783484,0,0,0,3,0,Unassigned,28/08/23
36,375,32,0,353783484,0,0.694444444,25,10.41666667,3490,Cross-network,29/08/23
53,304,50,0,353783484,0,0.547169811,29,5.735849057,2635,Direct,29/08/23
379,2195,347,0,353783484,0,0.659630607,250,5.791556728,27406,Organic Search,29/08/23
22,71,21,0,353783484,0,0.136363636,3,3.227272727,44,Organic Social,29/08/23
97,829,87,0,353783484,0,0.804123711,78,8.546391753,7483,Paid Search,29/08/23
4,141,4,0,353783484,0,0.75,3,35.25,1005,Referral,29/08/23
2,6,2,0,353783484,0,0,0,3,0,Unassigned,29/08/23
22,227,22,0,353783484,0,0.818181818,18,10.31818182,3337,Cross-network,30/08/23
30,158,29,0,353783484,0,0.5,15,5.266666667,1826,Direct,30/08/23
402,2177,370,0,353783484,0,0.63681592,256,5.415422886,28285,Organic Search,30/08/23
15,61,14,0,353783484,0,0.266666667,4,4.066666667,833,Organic Social,30/08/23
2,8,2,0,353783484,0,0.5,1,4,5,Organic Video,30/08/23
81,731,76,0,353783484,0,0.75308642,61,9.024691358,7251,Paid Search,30/08/23
4,22,4,0,353783484,0,0.25,1,5.5,18,Referral,30/08/23
5,13,5,0,353783484,0,0,0,2.6,7,Unassigned,30/08/23
19,144,16,0,353783484,0,0.526315789,10,7.578947368,1158,Cross-network,31/08/23
50,270,47,0,353783484,0,0.44,22,5.4,3288,Direct,31/08/23
363,1769,339,0,353783484,0,0.669421488,243,4.873278237,19899,Organic Search,31/08/23
1,4,1,0,353783484,0,1,1,4,7,Organic Shopping,31/08/23
18,67,17,0,353783484,0,0.277777778,5,3.722222222,140,Organic Social,31/08/23
6,33,6,0,353783484,0,0.833333333,5,5.5,86,Organic Video,31/08/23
81,566,74,0,353783484,0,0.62962963,51,6.987654321,5444,Paid Search,31/08/23
7,29,5,0,353783484,0,0.285714286,2,4.142857143,143,Referral,31/08/23
5,12,5,0,353783484,0,0,0,2.4,1,Unassigned,31/08/23
28,333,25,0,353783484,0,0.678571429,19,11.89285714,3442,Cross-network,01/09/23
50,285,42,0,353783484,0,0.56,28,5.7,1863,Direct,01/09/23
343,1882,322,0,353783484,0,0.67638484,232,5.486880466,24169,Organic Search,01/09/23
9,29,9,0,353783484,0,0.111111111,1,3.222222222,3,Organic Social,01/09/23
5,57,4,0,353783484,0,0.6,3,11.4,915,Organic Video,01/09/23
73,560,67,0,353783484,0,0.780821918,57,7.671232877,5773,Paid Search,01/09/23
3,21,2,0,353783484,0,1,3,7,40,Referral,01/09/23
7,17,7,0,353783484,0,0,0,2.428571429,101,Unassigned,01/09/23
11,69,9,0,353783484,0,0.636363636,7,6.272727273,651,Cross-network,02/09/23
27,256,26,0,353783484,0,0.407407407,11,9.481481481,2629,Direct,02/09/23
349,1907,328,0,353783484,0,0.696275072,243,5.464183381,23779,Organic Search,02/09/23
1,2,1,0,353783484,0,0,0,2,0,Organic Shopping,02/09/23
20,94,19,0,353783484,0,0.2,4,4.7,474,Organic Social,02/09/23
67,629,63,0,353783484,0,0.731343284,49,9.388059701,8534,Paid Search,02/09/23
8,20,8,0,353783484,0,0,0,2.5,75,Unassigned,02/09/23
7,107,7,0,353783484,0,0.857142857,6,15.28571429,1228,Cross-network,03/09/23
